Sample number, Date/Time,Channel 1 (°C)
203,9/3/2020 17:12:4,30.62642
204,9/3/2020 17:12:5,30.64113
205,9/3/2020 17:12:6,30.66663
206,9/3/2020 17:12:7,30.68133
207,9/3/2020 17:12:8,30.71425
208,9/3/2020 17:12:9,30.73234
209,9/3/2020 17:12:10,30.7542
210,9/3/2020 17:12:11,30.79063
211,9/3/2020 17:12:12,30.80872
212,9/3/2020 17:12:13,30.83787
213,9/3/2020 17:12:14,30.86337
214,9/3/2020 17:12:15,30.88874
215,9/3/2020 17:12:16,30.90696
216,9/3/2020 17:12:17,30.93988
217,9/3/2020 17:12:18,30.96902
218,9/3/2020 17:12:19,30.99453
219,9/3/2020 17:12:20,31.01274
220,9/3/2020 17:12:21,31.04904
221,9/3/2020 17:12:22,31.07455
222,9/3/2020 17:12:23,31.10005
223,9/3/2020 17:12:24,31.13662
224,9/3/2020 17:12:25,31.15848
225,9/3/2020 17:12:26,31.18749
226,9/3/2020 17:12:27,31.21651
227,9/3/2020 17:12:28,31.2493
228,9/3/2020 17:12:29,31.27103
229,9/3/2020 17:12:30,31.30017
230,9/3/2020 17:12:31,31.33296
231,9/3/2020 17:12:32,31.3586
232,9/3/2020 17:12:33,31.3949
233,9/3/2020 17:12:34,31.42027
234,9/3/2020 17:12:35,31.43849
235,9/3/2020 17:12:36,31.46386
236,9/3/2020 17:12:37,31.49652
237,9/3/2020 17:12:38,31.52931
238,9/3/2020 17:12:39,31.55468
239,9/3/2020 17:12:40,31.5837
240,9/3/2020 17:12:41,31.61284
241,9/3/2020 17:12:42,31.64915
242,9/3/2020 17:12:43,31.68194
243,9/3/2020 17:12:44,31.70004
244,9/3/2020 17:12:45,31.73647
245,9/3/2020 17:12:46,31.75104
246,9/3/2020 17:12:47,31.77642
247,9/3/2020 17:12:48,31.79463
248,9/3/2020 17:12:49,31.82365
249,9/3/2020 17:12:50,31.84915
250,9/3/2020 17:12:51,31.88181
251,9/3/2020 17:12:52,31.90367
252,9/3/2020 17:12:53,31.93282
253,9/3/2020 17:12:54,31.96184
254,9/3/2020 17:12:55,31.98734
255,9/3/2020 17:12:56,32.01284
256,9/3/2020 17:12:57,32.04184
257,9/3/2020 17:12:58,32.07463
258,9/3/2020 17:12:59,32.08191
259,9/3/2020 17:13:0,32.11459
260,9/3/2020 17:13:1,32.1436
261,9/3/2020 17:13:2,32.15831
262,9/3/2020 17:13:3,32.2019
263,9/3/2020 17:13:4,32.21647
264,9/3/2020 17:13:5,32.23833
265,9/3/2020 17:13:6,32.26371
266,9/3/2020 17:13:7,32.2965
267,9/3/2020 17:13:8,32.31822
268,9/3/2020 17:13:9,32.34399
269,9/3/2020 17:13:10,32.37313
270,9/3/2020 17:13:11,32.39864
271,9/3/2020 17:13:12,32.42414
272,9/3/2020 17:13:13,32.42778
273,9/3/2020 17:13:14,32.47138
274,9/3/2020 17:13:15,32.48933
275,9/3/2020 17:13:16,32.50741
276,9/3/2020 17:13:17,32.53305
277,9/3/2020 17:13:18,32.56206
278,9/3/2020 17:13:19,32.59121
279,9/3/2020 17:13:20,32.61658
280,9/3/2020 17:13:21,32.64573
281,9/3/2020 17:13:22,32.6711
282,9/3/2020 17:13:23,32.70012
283,9/3/2020 17:13:24,32.72211
284,9/3/2020 17:13:25,32.75477
285,9/3/2020 17:13:26,32.77298
286,9/3/2020 17:13:27,32.81306
287,9/3/2020 17:13:28,32.83115
288,9/3/2020 17:13:29,32.86394
289,9/3/2020 17:13:30,32.88944
290,9/3/2020 17:13:31,32.91845
291,9/3/2020 17:13:32,32.94747
292,9/3/2020 17:13:33,32.98026
293,9/3/2020 17:13:34,33.00576
294,9/3/2020 17:13:35,33.03478
295,9/3/2020 17:13:36,33.06028
296,9/3/2020 17:13:37,33.08214
297,9/3/2020 17:13:38,33.11857
298,9/3/2020 17:13:39,33.15488
299,9/3/2020 17:13:40,33.18025
300,9/3/2020 17:13:41,33.20575
301,9/3/2020 17:13:42,33.2349
302,9/3/2020 17:13:43,33.26392
303,9/3/2020 17:13:44,33.29658
304,9/3/2020 17:13:45,33.31479
305,9/3/2020 17:13:46,33.34029
306,9/3/2020 17:13:47,33.38388
307,9/3/2020 17:13:48,33.40561
308,9/3/2020 17:13:49,33.44191
309,9/3/2020 17:13:50,33.47106
310,9/3/2020 17:13:51,33.50021
311,9/3/2020 17:13:52,33.52571
312,9/3/2020 17:13:53,33.54744
313,9/3/2020 17:13:54,33.57294
314,9/3/2020 17:13:55,33.59832
315,9/3/2020 17:13:56,33.62746
316,9/3/2020 17:13:57,33.65283
317,9/3/2020 17:13:58,33.67469
318,9/3/2020 17:13:59,33.71099
319,9/3/2020 17:14:0,33.74014
320,9/3/2020 17:14:1,33.76552
321,9/3/2020 17:14:2,33.78362
322,9/3/2020 17:14:3,33.8056
323,9/3/2020 17:14:4,33.83162
324,9/3/2020 17:14:5,33.8609
325,9/3/2020 17:14:6,33.89342
326,9/3/2020 17:14:7,33.92257
327,9/3/2020 17:14:8,33.94417
328,9/3/2020 17:14:9,33.98047
329,9/3/2020 17:14:10,33.99831
330,9/3/2020 17:14:11,34.03434
331,9/3/2020 17:14:12,34.05973
332,9/3/2020 17:14:13,34.08523
333,9/3/2020 17:14:14,34.10696
334,9/3/2020 17:14:15,34.12153
335,9/3/2020 17:14:16,34.15446
336,9/3/2020 17:14:17,34.18724
337,9/3/2020 17:14:18,34.21639
338,9/3/2020 17:14:19,34.24554
339,9/3/2020 17:14:20,34.27104
340,9/3/2020 17:14:21,34.30734
341,9/3/2020 17:14:22,34.32907
342,9/3/2020 17:14:23,34.36537
343,9/3/2020 17:14:24,34.39452
344,9/3/2020 17:14:25,34.42002
